■ 월별 박스오피스,,,,,,,,,,,,
- 조회일: 2022-01-20,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 202101~202101   영화구분: 전체   국적: 전체   지역: 전체 ],,,,,,,,,,,,
,,,,,,,,,,,,
● 2021년 01월,,,,,,,,,,,,
순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,배급사 
,,,,점유율 ,,,,,,,,
1,소울,2021-01-20,"7,936,306,910",50.3%,"7,936,306,910","874,999","874,999","2,018","63,209",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
2,극장판 귀멸의 칼날: 무한열차편,2021-01-27,"1,820,102,670",11.5%,"1,820,102,670","206,309","206,309",380,"5,816",일본,일본,워터홀컴퍼니(주)
3,원더 우먼 1984,2020-12-23,"1,445,202,000",9.2%,"4,935,633,460","155,562","546,548","1,877","38,241",미국,미국,워너브러더스 코리아(주)
4,화양연화,2000-10-20,"478,844,570",3.0%,"878,825,270","52,142","100,156",447,"12,472",홍콩,"홍콩,프랑스",(주)디스테이션
5,세자매,2021-01-27,"354,451,240",2.2%,"354,568,240","42,290","42,301",569,"5,876",한국,한국,(주)리틀빅픽쳐스
6,명탐정 코난: 진홍의 수학여행,2021-01-27,"316,132,440",2.0%,"316,132,440","38,131","38,131",532,"4,670",일본,일본,(주)씨제이이엔엠
7,조제,2020-12-10,"210,969,970",1.3%,"1,884,397,540","23,337","209,984",472,"6,316",한국,한국,워너브러더스 코리아(주)
8,아이 엠 우먼,2021-01-14,"177,552,770",1.1%,"186,954,270","21,913","22,918",494,"6,010",호주,호주,(주)팝엔터테인먼트
9,도굴,2020-11-04,"196,004,260",1.2%,"13,960,684,670","21,729","1,545,243",294,"5,027",한국,한국,(주)씨제이이엔엠
10,뱅가드,2020-12-30,"186,606,800",1.2%,"265,893,700","21,166","31,546",265,"4,777",중국,중국,(주)디스테이션
11,블라인드,2021-01-14,"158,532,100",1.0%,"158,532,100","18,297","18,297",239,"4,359",네덜란드,네덜란드,주식회사 컨텐츠썬
12,#아이엠히어,2021-01-14,"135,795,710",0.9%,"135,795,710","16,290","16,290",432,"4,561",프랑스,프랑스,(주)넥스트엔터테인먼트월드(NEW)
13,빅풋 주니어2: 패밀리가 떴다,2021-01-06,"121,664,630",0.8%,"121,664,630","14,682","14,682",308,"3,462",기타,기타,(주)이수C&E
14,커넥트,2021-01-20,"125,557,510",0.8%,"125,557,510","14,140","14,140",386,"3,947",미국,미국,(주)이수C&E
15,라라랜드,2016-12-07,"81,359,900",0.5%,"30,954,492,708","11,526","3,753,565",78,"1,451",미국,미국,판씨네마(주)
16,미스터 존스,2021-01-07,"94,595,400",0.6%,"94,675,400","10,727","10,743",277,"3,019",폴란드,폴란드,(주)디오시네마
17,늑대와 춤을,1991-03-31,"83,792,920",0.5%,"84,124,920","9,787","9,897",201,"2,214",미국,미국,"(주)더세컨드웨이브,(주)영화특별시에스엠씨"
18,나는 나를 해고하지 않는다,2021-01-28,"76,303,260",0.5%,"81,496,260","9,660","10,318",313,"1,625",한국,한국,(주)영화사 진진
19,캐롤,2016-02-04,"84,175,840",0.5%,"2,840,746,035","9,649","345,862",275,"1,557",미국,"미국,영국",CGV아트하우스
20,북스마트,2021-01-27,"58,561,900",0.4%,"58,561,900","9,435","9,435",163,"1,658",미국,미국,(주)콘텐츠판다
21,완벽한 가족,2021-01-06,"75,268,460",0.5%,"75,268,460","8,659","8,659",318,"2,978",미국,미국,(주)제이앤씨미디어그룹
22,나이팅게일,2020-12-30,"72,337,140",0.5%,"112,682,610","8,340","13,702",307,"2,574",호주,호주,(주)제이앤씨미디어그룹
23,토이 솔져스: 가짜사나이2 더 컴플리트,2021-01-27,"75,326,300",0.5%,"75,326,300","7,991","7,991",155,"1,856",한국,한국,씨제이포디플렉스 주식회사
24,마이 미씽 발렌타인,2021-01-14,"59,948,070",0.4%,"59,948,070","7,796","7,796",153,"1,759",기타,기타,(주)트리플픽쳐스
25,파힘,2021-01-21,"50,366,700",0.3%,"50,366,700","6,547","6,547",165,"1,502",프랑스,프랑스,(주)디스테이션
26,이웃사촌,2020-11-25,"59,825,790",0.4%,"3,707,723,750","6,518","431,282",143,"1,919",한국,한국,"(주)리틀빅픽쳐스,(주)트리니티픽쳐스"
27,테넷,2020-08-26,"62,349,320",0.4%,"18,459,279,170","6,271","1,998,485",20,707,미국,미국,워너브러더스 코리아(주)
28,굿바이,2008-10-30,"45,046,240",0.3%,"947,360,520","5,117","149,345",132,"1,311",일본,일본,"(주)드림팩트엔터테인먼트,㈜케이디미디어"
29,걸,2021-01-07,"44,053,510",0.3%,"46,203,510","4,853","5,068",239,"1,995",독일,독일,(주)리틀빅픽쳐스
30,비긴 어게인,2014-08-13,"33,604,320",0.2%,"27,349,926,741","4,842","3,469,686",34,583,미국,미국,판씨네마(주)
31,런,2020-11-20,"42,820,770",0.3%,"2,603,262,370","4,754","283,573",93,"1,171",미국,미국,(주)올스타엔터테인먼트
32,100% 울프: 푸들이 될 순 없어,2020-12-24,"35,529,400",0.2%,"134,490,620","4,732","17,089",152,"1,172",호주,호주,(주)팝엔터테인먼트
33,나이브스 아웃,2019-12-04,"29,680,500",0.2%,"6,903,591,590","4,285","819,091",33,521,미국,미국,(주)올스타엔터테인먼트
34,러브레터,1999-11-20,"36,909,010",0.2%,"973,595,824","4,044","124,893",62,950,일본,일본,"(주)제이앤씨미디어그룹,와이드 릴리즈(주),(유)조이앤시네마,(주)팝엔터테인먼트"
