■ 월별 박스오피스,,,,,,,,,,,,
- 조회일: 2022-01-20,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 202101~202106   영화구분: 전체   국적: 전체   지역: 전체 ],,,,,,,,,,,,
,,,,,,,,,,,,
● 2021년 06월,,,,,,,,,,,,
순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,배급사 
,,,,점유율 ,,,,,,,,
1,크루엘라,2021-05-26,"11,669,495,860",24.8%,"14,709,041,170","1,201,758","1,531,969","1,186","74,787",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
2,컨저링3: 악마가 시켰다,2021-06-03,"7,760,161,840",16.5%,"7,763,101,840","772,892","773,088","1,133","49,912",미국,미국,워너브러더스 코리아(주)
3,콰이어트 플레이스 2,2021-06-16,"6,622,919,070",14.1%,"6,622,919,070","670,671","670,671","1,137","47,972",미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
4,분노의 질주: 더 얼티메이트,2021-05-19,"4,688,604,910",10.0%,"21,966,585,490","489,297","2,279,949","1,332","47,241",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
5,발신제한,2021-06-23,"4,338,510,980",9.2%,"4,338,510,980","467,786","467,786","1,010","34,225",한국,한국,(주)씨제이이엔엠
6,킬러의 보디가드 2,2021-06-23,"2,815,848,900",6.0%,"2,815,848,900","289,035","289,035",975,"25,862",미국,미국,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹"
7,루카,2021-06-17,"2,393,628,450",5.1%,"2,393,628,450","263,252","263,252",856,"21,029",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
8,캐시트럭,2021-06-09,"2,156,468,890",4.6%,"2,156,468,890","226,923","226,923",938,"27,890",미국,미국,"(주)스튜디오 산타클로스엔터테인먼트,(주)제이앤씨미디어그룹"
9,여고괴담 여섯번째 이야기 : 모교,2021-06-17,"837,595,910",1.8%,"837,595,910","91,812","91,812",603,"12,968",한국,한국,"(주)케이티알파,씨제이 씨지브이(CJ CGV)(주)"
10,극장판 귀멸의 칼날: 무한열차편,2021-01-27,"670,709,150",1.4%,"20,609,925,980","76,170","2,145,986",274,"5,865",일본,일본,워터홀컴퍼니(주)
11,파이프라인,2021-05-26,"358,336,960",0.8%,"1,198,524,450","39,945","136,256",546,"8,360",한국,한국,"메가박스중앙(주)플러스엠,(주)리틀빅픽쳐스"
12,아야와 마녀,2021-06-10,"243,982,920",0.5%,"244,486,920","29,921","29,993",362,"4,305",일본,일본,(주)리틀빅픽쳐스
13,미드나이트,2021-06-30,"173,862,510",0.4%,"173,862,510","24,950","24,950",693,"2,404",한국,한국,씨제이 씨지브이(CJ CGV)(주)
14,인 더 하이츠,2021-06-30,"162,654,690",0.3%,"162,654,690","20,701","20,701",649,"2,074",미국,미국,워너브러더스 코리아(주)
15,뱅드림! 로젤리아 에피소드Ⅰ: 약속,2021-06-03,"171,550,370",0.4%,"171,550,370","18,947","18,947",141,"2,353",일본,일본,(주)애니플러스
16,프로페서 앤 매드맨,2021-06-02,"128,286,510",0.3%,"149,118,510","15,097","17,292",320,"3,294",미국,미국,그린나래미디어(주)
17,사랑하고 사랑받고 차고 차이고,2021-06-16,"134,178,100",0.3%,"135,739,100","15,062","15,285",155,"2,389",일본,일본,주식회사 컨텐츠썬
18,굴뚝마을의 푸펠,2021-05-26,"94,731,880",0.2%,"205,375,390","10,814","23,632",172,"2,030",일본,일본,"(주)리틀빅픽쳐스,(주)레드로버"
19,낫아웃,2021-06-03,"75,018,980",0.2%,"77,691,980","8,853","9,150",203,"2,137",한국,한국,"(주)케이티알파,판씨네마(주)"
20,도라에몽: 스탠바이미 2,2021-05-19,"64,109,290",0.1%,"708,408,330","7,628","81,542",165,850,일본,일본,(주)스마일이엔티
21,분노의 질주,2001-09-21,"67,834,000",0.1%,"67,834,000","7,266","7,266",47,"1,135",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
22,라이더스 오브 저스티스,2021-06-02,"67,421,050",0.1%,"67,421,050","7,131","7,131",143,"2,255",기타,기타,주식회사 왓챠
23,체르노빌 1986,2021-06-30,"37,217,000",0.1%,"37,217,000","5,849","5,849",180,480,러시아,러시아,(주)팝엔터테인먼트
24,학교 가는 길,2021-05-05,"41,937,270",0.1%,"172,346,980","5,816","22,675",12,157,한국,한국,(주)영화사 진진
25,플래시백,2021-06-10,"43,326,400",0.1%,"43,326,400","5,658","5,658",145,909,캐나다,캐나다,판씨네마(주)
